appno,startdate,stopdate,address,ward,gpsx,gpsy
ALT997205,2027-10-08 08:00:00,2021-08-28 16:00:00,173 to 175 Ipswich ST Boston 02215,05,765498.895769104,2951617.05962177
ERT766946,2026-12-04 08:00:00,2021-07-25 04:00:00,150 Seaport BLVD Boston 02210,06,779752.600955154,2953153.8283199
ERT652809,2026-11-07 08:00:00,2021-07-17 01:00:00,40 Trinity PL Boston 02116,04,771014.362504263,2952248.97698261
ALT1131759,2022-08-21 08:00:00,2021-08-21 16:00:00,11 Beckler AVE South Boston 02127,06,781458.0193315,2946867.12214836
ERT891330,2021-09-26 06:00:00,2021-09-26 06:00:00,43 to 61 Pier 4 BL Boston 02210,06,779190.015983332,2952969.24454191
ERT874356,2021-09-25 08:00:00,2021-09-25 06:00:00,10 to 12 Heathcote ST Roslindale 02131,19,757337.274202745,2927888.41592546
ALT995800,2021-09-20 10:00:00,2021-09-24 07:00:00,7 Allstate RD Dorchester 02125,07,774254.527260795,2945338.60726695
SF1074758,2021-09-20 09:00:00,2021-09-23 07:00:00,60 to 94 Everett ST Brighton 02134,22,753678.289353639,2955158.47425209
ERT611289,2021-09-20 09:00:00,2021-09-24 05:00:00,640 to 720 Atlantic AVE Boston 02110,03,776202.354349032,2952889.18338986
ERT779522,2021-09-20 06:00:00,2021-09-23 11:00:00,35 Lomasney WY Boston 02114,03,773757.132764416,2958442.69955219
ERT766946,2021-09-20 06:00:00,2021-09-24 01:00:00,150 Seaport BLVD Boston 02210,06,779752.600955154,2953153.8283199
ERT1022776,2021-09-20 06:00:00,2021-09-21 10:00:00,665 Commonwealth AV Boston 02215,05,763470.223968332,2952777.31771752
ALT902102,2021-09-20 06:00:00,2021-09-24 07:00:00,1 Post Office SQ Boston 02109,03,776448.999998838,2955360.00001228
ALT1029251,2021-09-20 06:00:00,2021-09-24 06:00:00,201 Brookline AVE Boston 02215,21,763639.531020556,2950939.49367545
ERT860060,2021-09-20 05:00:00,2021-09-03 07:00:00,115 Federal ST Boston 02110,03,775909.575902343,2954524.89089151
ERT1037077,2021-09-20 05:00:00,2021-09-21 19:00:00,1001 Boylston ST Boston 02215,05,767415.665115256,2951846.08035176
ERT891330,2021-09-20 05:00:00,2021-09-25 11:00:00,43 to 61 Pier 4 BL Boston 02210,06,779190.015983332,2952969.24454191
ALT1243883,2021-09-19 16:00:00,2021-09-19 01:30:00,20 Mount Vernon ST West Roxbury 02132,20,748612.367524907,2928334.20881911
ALT995800,2021-09-19 10:00:00,2021-09-19 07:00:00,7 Allstate RD Dorchester 02125,07,774254.527260795,2945338.60726695
